Timestamp,Q1  How would you describe your academic performance overall this semester?,Q2  Roughly what percentage of your scheduled classes have you attended this semester?,"Q3  Out of the last 5 assignments or coursework submissions due, how many did you submit on time?","Q4  Have you ever repeated, or are you currently repeating, any course at KNUST?","Q5  In the past three months, have you seriously considered withdrawing from KNUST or taking a break of one semester or more from your studies?","Q6  Over the last 2 weeks, how often have you been bothered by... little interest or pleasure in doing things?","Q7  Over the last 2 weeks, how often have you been bothered by... feeling down, depressed, or hopeless?","Q8  Over the last 2 weeks, how often have you been bothered by... feeling nervous, anxious, or on edge?","Q9  Over the last 2 weeks, how often have you been bothered by... not being able to stop or control worrying?","Q10   In the current semester, to what extent has financial difficulty affected your ability to fully participate in your studies? (For example: inability to buy required textbooks, pay exam fees, or cover transport to campus.)","Q11   How would you describe your ability to access the internet reliably for academic work? (For example: downloading lecture notes, submitting assignments online, attending virtual classes.)","Q12   Do you have significant responsibilities outside of your studies — such as paid work, caring for family members, or supporting your household financially — that regularly compete with your study time?",Which faculty or college are you currently enrolled in at KNUST?,"  If you selected Other Faculty, please specify your faculty or school.  ",Q14   What year of study are you currently in?,What is your gender?,"Q16   Thinking about your overall experience at KNUST, how strongly do you feel that you belong here as a student?"
2026/06/01 1:16:24 PM GMT,Average,60–80%,All 5,No,No,More than half the days,Not at all,Several days,Not at all,Not at all,Frequently unreliable — regular difficulties,Yes — these regularly take significant time from my studies,College of Health Sciences,,Year 2,Male,Strongly agree — I feel I belong here
2026/06/03 3:43:13 PM GMT,Good,More than 80%,All 5,No,No,Several days,Several days,Not at all,Several days,Not at all,Frequently unreliable — regular difficulties,No — these do not significantly affect my study time,College of Engineering,,Year 3,Male,Strongly agree — I feel I belong here
2026/06/15 8:35:54 PM GMT,Good,More than 80%,All 5,No,No,Several days,Several days,Not at all,Not at all,Not at all,Reliable access — rarely a problem,No — these do not significantly affect my study time,College of Science,,Year 4,Female,Strongly agree — I feel I belong here
2026/06/14 10:37:37 AM GMT,Good,More than 80%,All 5,No,No,Not at all,Not at all,Several days,Several days,Not at all,Reliable access — rarely a problem,Sometimes — these occasionally affect my study time,College of Health Sciences,,Year 3,Male,Strongly agree — I feel I belong here
2026/06/01 3:35:46 AM GMT,Good,More than 80%,All 5,No,No,Not at all,Several days,Several days,More than half the days,Slightly — it has rarely affected my participation,Reliable access — rarely a problem,Sometimes — these occasionally affect my study time,College of Arts and Social Sciences,Other faculty ,Year 2,Female,Neutral
2026/06/16 9:23:55 PM GMT,Good,More than 80%,,No,No,Not at all,Not at all,Not at all,Several days,Not at all,Mostly reliable — occasional difficulties,No — these do not significantly affect my study time,College of Health Sciences,,Year 1,Male,Agree — I mostly feel I belong here
2026/06/12 9:02:38 PM GMT,Average,More than 80%,All 5,No,I have thought about it briefly but not seriously,Not at all,Nearly every day,Several days,Not at all,Not at all,Reliable access — rarely a problem,Sometimes — these occasionally affect my study time,College of Health Sciences,,Year 4,Male,Agree — I mostly feel I belong here
2026/06/15 8:27:13 PM GMT,Average,More than 80%,All 5,Yes,I have thought about it briefly but not seriously,Several days,Several days,Several days,Nearly every day,Slightly — it has rarely affected my participation,Mostly reliable — occasional difficulties,Yes — these regularly take significant time from my studies,College of Science,,Year 2,Female,Strongly agree — I feel I belong here
2026/06/15 9:08:49 PM GMT,Good,More than 80%,All 5,No,No,Not at all,Not at all,Not at all,Not at all,Slightly — it has rarely affected my participation,Reliable access — rarely a problem,No — these do not significantly affect my study time,College of Science,,Year 3,Female,Strongly agree — I feel I belong here
2026/06/01 9:58:31 PM GMT,Average,60–80%,All 5,No,I have thought about it briefly but not seriously,Several days,More than half the days,More than half the days,Not at all,Severely — it has significantly limited my participation,Mostly reliable — occasional difficulties,No — these do not significantly affect my study time,Other Faculty,,Year 4,Male,Neutral
2026/06/13 10:11:42 PM GMT,Average,60–80%,All 5,No,No,Not at all,Not at all,Not at all,Not at all,Not at all,Frequently unreliable — regular difficulties,No — these do not significantly affect my study time,College of Science,,Year 3,Female,Strongly agree — I feel I belong here
2026/06/17 1:20:50 PM GMT,Good,60–80%,All 5,No,No,Not at all,Not at all,Nearly every day,Not at all,Not at all,Reliable access — rarely a problem,Sometimes — these occasionally affect my study time,Other Faculty,,Year 3,Male,Agree — I mostly feel I belong here
2026/06/13 10:32:25 PM GMT,Good,More than 80%,All 5,No,No,Several days,Several days,Not at all,Not at all,Slightly — it has rarely affected my participation,Mostly reliable — occasional difficulties,No — these do not significantly affect my study time,College of Science,,Year 1,Female,Neutral
2026/06/16 9:01:12 PM GMT,Good,More than 80%,All 5,Yes,No,Several days,Not at all,Not at all,Several days,Moderately — it has sometimes limited my participation,Mostly reliable — occasional difficulties,Yes — these regularly take significant time from my studies,School of Business,,Year 4,Female,Strongly agree — I feel I belong here
2026/06/16 9:53:12 PM GMT,Excellent,60–80%,All 5,No,No,Several days,More than half the days,Not at all,Not at all,Not at all,Reliable access — rarely a problem,No — these do not significantly affect my study time,College of Science,,Year 1,Prefer not to say,Strongly agree — I feel I belong here
2026/05/30 11:47:23 AM GMT,Good,60–80%,3 or 4,No,No,Nearly every day,Not at all,Several days,Several days,Not at all,Reliable access — rarely a problem,No — these do not significantly affect my study time,College of Health Sciences,,Year 1,Male,Neutral
2026/06/12 8:42:02 PM GMT,Good,More than 80%,All 5,No,No,More than half the days,Not at all,Not at all,Not at all,Severely — it has significantly limited my participation,Reliable access — rarely a problem,Sometimes — these occasionally affect my study time,College of Health Sciences,,Year 3,Female,Strongly agree — I feel I belong here
2026/06/01 4:16:07 PM GMT,Excellent,More than 80%,3 or 4,No,No,Several days,Not at all,Not at all,More than half the days,Not at all,Mostly reliable — occasional difficulties,Sometimes — these occasionally affect my study time,College of Arts and Social Sciences,,Year 1,Male,Strongly agree — I feel I belong here
2026/06/10 12:40:04 PM GMT,Good,More than 80%,All 5,No,No,Nearly every day,Several days,Not at all,Not at all,Severely — it has significantly limited my participation,Reliable access — rarely a problem,No — these do not significantly affect my study time,College of Science,,Year 3,Male,Agree — I mostly feel I belong here
2026/06/01 3:46:21 PM GMT,Excellent,60–80%,All 5,Yes,"Yes, I have seriously considered this",Not at all,Several days,Not at all,Nearly every day,Moderately — it has sometimes limited my participation,Reliable access — rarely a problem,Sometimes — these occasionally affect my study time,College of Arts and Social Sciences,,Year 4,Male,Neutral
2026/06/02 8:25:10 AM GMT,Good,60–80%,,No,"Yes, I have seriously considered this",Nearly every day,More than half the days,Several days,More than half the days,Not at all,Frequently unreliable — regular difficulties,No — these do not significantly affect my study time,College of Science,,Year 3,Male,Neutral
2026/06/01 4:51:14 PM GMT,Excellent,60–80%,All 5,No,No,Not at all,Several days,Not at all,Not at all,Not at all,Mostly reliable — occasional difficulties,No — these do not significantly affect my study time,College of Science,,Year 2,Male,Neutral
2026/06/16 9:12:54 PM GMT,Excellent,More than 80%,All 5,No,No,Not at all,Several days,Nearly every day,Several days,Not at all,Reliable access — rarely a problem,No — these do not significantly affect my study time,College of Health Sciences,,Year 2,Female,Strongly agree — I feel I belong here
2026/06/15 9:33:44 PM GMT,Good,More than 80%,All 5,No,I have thought about it briefly but not seriously,Several days,Several days,Not at all,Nearly every day,Not at all,Reliable access — rarely a problem,No — these do not significantly affect my study time,College of Health Sciences,knust,Year 1,Male,Strongly agree — I feel I belong here
2026/06/16 9:53:12 PM GMT,Good,More than 80%,All 5,No,No,Several days,Several days,Not at all,Not at all,Moderately — it has sometimes limited my participation,Reliable access — rarely a problem,Yes — these regularly take significant time from my studies,College of Science,,Year 4,Female,Agree — I mostly feel I belong here
2026/06/15 9:08:49 PM GMT,Average,More than 80%,All 5,No,No,Nearly every day,Not at all,Not at all,Not at all,Moderately — it has sometimes limited my participation,Reliable access — rarely a problem,No — these do not significantly affect my study time,College of Science,College of humanities and social sciences ,Year 4,Female,Agree — I mostly feel I belong here
2026/06/01 1:08:17 PM GMT,Good,More than 80%,All 5,No,No,Several days,Several days,Not at all,Not at all,Slightly — it has rarely affected my participation,Reliable access — rarely a problem,No — these do not significantly affect my study time,College of Arts and Social Sciences,,Year 3,Female,Agree — I mostly feel I belong here
2026/06/15 10:27:27 AM GMT,Below Average,More than 80%,1 or 2,No,I have thought about it briefly but not seriously,Not at all,Several days,Several days,Several days,Severely — it has significantly limited my participation,Mostly reliable — occasional difficulties,Sometimes — these occasionally affect my study time,College of Science,,Year 2,Female,Neutral
2026/05/30 11:40:07 AM GMT,Average,More than 80%,All 5,No,No,Not at all,More than half the days,Not at all,Not at all,Not at all,Mostly reliable — occasional difficulties,Yes — these regularly take significant time from my studies,College of Arts and Social Sciences,,Year 1,Female,Strongly agree — I feel I belong here
2026/06/12 8:36:14 PM GMT,Excellent,More than 80%,All 5,No,I have thought about it briefly but not seriously,Not at all,Several days,Nearly every day,Not at all,Moderately — it has sometimes limited my participation,Mostly reliable — occasional difficulties,No — these do not significantly affect my study time,College of Science,,Year 2,Female,Neutral
2026/06/10 1:54:42 PM GMT,Good,60–80%,All 5,No,No,Not at all,Not at all,Not at all,Not at all,Not at all,Mostly reliable — occasional difficulties,Sometimes — these occasionally affect my study time,College of Health Sciences,,Year 4,Male,Strongly agree — I feel I belong here
2026/06/12 9:09:06 PM GMT,Good,More than 80%,1 or 2,No,No,Several days,Not at all,More than half the days,Not at all,Not at all,Mostly reliable — occasional difficulties,No — these do not significantly affect my study time,College of Science,,Year 2,Female,Strongly agree — I feel I belong here
2026/06/01 4:54:57 PM GMT,Average,More than 80%,All 5,No,I have thought about it briefly but not seriously,Several days,Nearly every day,More than half the days,Nearly every day,Not at all,Reliable access — rarely a problem,Yes — these regularly take significant time from my studies,College of Science,,Year 4,Female,Agree — I mostly feel I belong here
2026/06/10 2:00:44 PM GMT,Good,More than 80%,3 or 4,No,I have thought about it briefly but not seriously,Not at all,Nearly every day,Several days,Nearly every day,Moderately — it has sometimes limited my participation,Mostly reliable — occasional difficulties,No — these do not significantly affect my study time,College of Science,,Year 3,Female,Neutral
2026/06/01 3:28:11 AM GMT,Good,Less than 40%,All 5,No,I have thought about it briefly but not seriously,More than half the days,More than half the days,More than half the days,Several days,Moderately — it has sometimes limited my participation,Reliable access — rarely a problem,Yes — these regularly take significant time from my studies,College of Science,,Year 1,Female,Strongly agree — I feel I belong here
2026/06/01 3:28:11 AM GMT,Good,More than 80%,All 5,No,I have thought about it briefly but not seriously,More than half the days,Not at all,Not at all,Several days,Slightly — it has rarely affected my participation,Mostly reliable — occasional difficulties,No — these do not significantly affect my study time,School of Business,,Year 3,Male,Neutral
2026/06/10 12:30:12 PM GMT,Below Average,More than 80%,All 5,No,No,Not at all,Several days,Not at all,Not at all,Not at all,Reliable access — rarely a problem,Yes — these regularly take significant time from my studies,Other Faculty,,Year 4,Female,Agree — I mostly feel I belong here
2026/06/01 3:37:25 AM GMT,Below Average,60–80%,1 or 2,No,I have thought about it briefly but not seriously,Several days,More than half the days,Nearly every day,Not at all,Not at all,Frequently unreliable — regular difficulties,Sometimes — these occasionally affect my study time,College of Science,,Year 4,Male,Neutral
2026/05/28 1:00:57 PM GMT,Struggling Significantly,60–80%,All 5,Yes,"Yes, I have seriously considered this",Several days,More than half the days,Not at all,Not at all,Not at all,Frequently unreliable — regular difficulties,Yes — these regularly take significant time from my studies,College of Science,,Year 2,Male,Neutral
2026/05/30 11:38:49 AM GMT,Good,More than 80%,3 or 4,No,I have thought about it briefly but not seriously,Several days,Not at all,Not at all,Not at all,Severely — it has significantly limited my participation,Mostly reliable — occasional difficulties,No — these do not significantly affect my study time,College of Science,,Year 4,Female,Strongly agree — I feel I belong here
2026/06/14 10:37:32 AM GMT,Good,60–80%,3 or 4,No,I have thought about it briefly but not seriously,Nearly every day,Not at all,Several days,Several days,Not at all,Frequently unreliable — regular difficulties,Sometimes — these occasionally affect my study time,Other Faculty,,Year 3,Female,Agree — I mostly feel I belong here
2026/05/30 11:54:07 AM GMT,Good,More than 80%,All 5,No,No,More than half the days,Not at all,Not at all,Several days,Slightly — it has rarely affected my participation,Reliable access — rarely a problem,Sometimes — these occasionally affect my study time,College of Science,,Year 4,Male,Neutral
2026/05/28 8:09:04 PM GMT,Good,More than 80%,All 5,No,No,Several days,More than half the days,Several days,Several days,Slightly — it has rarely affected my participation,Frequently unreliable — regular difficulties,Sometimes — these occasionally affect my study time,School of Business,,Year 4,Female,Strongly agree — I feel I belong here
2026/06/02 3:40:31 PM GMT,Good,More than 80%,All 5,No,No,Not at all,Several days,More than half the days,Not at all,Slightly — it has rarely affected my participation,Reliable access — rarely a problem,No — these do not significantly affect my study time,College of Science,,Year 1,Male,Strongly agree — I feel I belong here
2026/05/11 6:24:04 PM GMT,Good,More than 80%,All 5,Yes,I have thought about it briefly but not seriously,Not at all,Not at all,Not at all,Several days,Not at all,Reliable access — rarely a problem,No — these do not significantly affect my study time,School of Business,,Year 1,Female,Agree — I mostly feel I belong here
2026/05/19 8:47:43 AM GMT,Good,More than 80%,All 5,No,No,Several days,Not at all,Several days,Not at all,Moderately — it has sometimes limited my participation,Frequently unreliable — regular difficulties,No — these do not significantly affect my study time,College of Arts and Social Sciences,,Year 2,Female,Strongly agree — I feel I belong here
2026/06/01 12:57:50 PM GMT,Below Average,More than 80%,3 or 4,No,No,Several days,Several days,Several days,Not at all,Slightly — it has rarely affected my participation,Very limited — a serious barrier to my studies,Sometimes — these occasionally affect my study time,College of Science,,Year 1,Male,Strongly agree — I feel I belong here
2026/06/01 4:51:14 PM GMT,Good,More than 80%,All 5,No,No,Nearly every day,Not at all,Several days,Several days,Moderately — it has sometimes limited my participation,Reliable access — rarely a problem,Sometimes — these occasionally affect my study time,College of Arts and Social Sciences,,Year 1,Female,Agree — I mostly feel I belong here
2026/06/13 9:38:48 PM GMT,Good,40–60%,All 5,No,No,Several days,Not at all,Nearly every day,Not at all,Not at all,Frequently unreliable — regular difficulties,No — these do not significantly affect my study time,Other Faculty,,Year 2,Male,Strongly agree — I feel I belong here
2026/06/01 12:58:49 PM GMT,Good,More than 80%,All 5,No,No,More than half the days,Not at all,Not at all,Not at all,Severely — it has significantly limited my participation,Frequently unreliable — regular difficulties,No — these do not significantly affect my study time,College of Health Sciences,,Year 2,Male,Strongly agree — I feel I belong here
2026/06/15 9:33:44 PM GMT,Good,More than 80%,All 5,No,I have thought about it briefly but not seriously,Several days,Several days,Nearly every day,Several days,Slightly — it has rarely affected my participation,Mostly reliable — occasional difficulties,Sometimes — these occasionally affect my study time,School of Business,,Year 2,Male,Neutral
2026/06/10 12:33:58 PM GMT,Average,Less than 40%,3 or 4,No,I have thought about it briefly but not seriously,Several days,Nearly every day,Several days,More than half the days,Slightly — it has rarely affected my participation,Mostly reliable — occasional difficulties,No — these do not significantly affect my study time,College of Engineering,,Year 1,Male,Neutral
2026/05/19 6:03:46 AM GMT,Excellent,60–80%,All 5,No,"Yes, I have seriously considered this",Several days,More than half the days,Not at all,Nearly every day,Moderately — it has sometimes limited my participation,Frequently unreliable — regular difficulties,No — these do not significantly affect my study time,College of Science,,Year 2,Male,Strongly agree — I feel I belong here
2026/06/12 8:59:11 PM GMT,Good,More than 80%,3 or 4,No,No,Several days,Not at all,Several days,Not at all,Slightly — it has rarely affected my participation,Reliable access — rarely a problem,No — these do not significantly affect my study time,College of Arts and Social Sciences,,Year 4,Male,Neutral
2026/05/29 12:37:34 AM GMT,Average,More than 80%,All 5,Yes,"Yes, I have seriously considered this",More than half the days,Nearly every day,Not at all,Nearly every day,Moderately — it has sometimes limited my participation,Frequently unreliable — regular difficulties,No — these do not significantly affect my study time,College of Health Sciences,,Year 4,Male,Neutral
2026/05/29 7:25:49 AM GMT,Average,60–80%,All 5,No,"Yes, I have seriously considered this",Not at all,Not at all,Nearly every day,Not at all,Not at all,Mostly reliable — occasional difficulties,Yes — these regularly take significant time from my studies,College of Engineering,,Year 3,Female,Disagree — I often feel I do not belong here
2026/06/13 10:13:37 PM GMT,Average,More than 80%,3 or 4,Yes,"Yes, I have seriously considered this",More than half the days,Nearly every day,Several days,Several days,Slightly — it has rarely affected my participation,Very limited — a serious barrier to my studies,No — these do not significantly affect my study time,School of Business,Civil engineering ,Year 3,Prefer not to say,Neutral
2026/06/13 9:48:24 PM GMT,Good,More than 80%,All 5,No,I have thought about it briefly but not seriously,Several days,More than half the days,Not at all,Several days,Moderately — it has sometimes limited my participation,Frequently unreliable — regular difficulties,No — these do not significantly affect my study time,Other Faculty,Knust,Year 4,Male,Agree — I mostly feel I belong here
2026/06/16 8:21:48 PM GMT,Good,60–80%,3 or 4,No,No,Not at all,Several days,More than half the days,Not at all,Slightly — it has rarely affected my participation,Mostly reliable — occasional difficulties,Sometimes — these occasionally affect my study time,Other Faculty,,Year 4,Female,Neutral
2026/06/10 1:56:43 PM GMT,Struggling Significantly,60–80%,All 5,No,"Yes, I have seriously considered this",Several days,More than half the days,Several days,Not at all,Slightly — it has rarely affected my participation,Reliable access — rarely a problem,Sometimes — these occasionally affect my study time,School of Business,,Year 1,Female,Agree — I mostly feel I belong here
2026/06/03 10:23:57 PM GMT,Excellent,More than 80%,3 or 4,No,No,Not at all,Not at all,Not at all,Not at all,Slightly — it has rarely affected my participation,Frequently unreliable — regular difficulties,No — these do not significantly affect my study time,Other Faculty,,Year 4,Male,Neutral
2026/06/13 10:22:00 PM GMT,Excellent,More than 80%,3 or 4,No,No,Several days,Several days,Several days,Not at all,Moderately — it has sometimes limited my participation,Mostly reliable — occasional difficulties,No — these do not significantly affect my study time,College of Arts and Social Sciences,College of Agriculture ,Year 3,Male,Strongly agree — I feel I belong here
2026/06/01 3:28:11 AM GMT,Good,Less than 40%,All 5,No,I have thought about it briefly but not seriously,Not at all,Several days,Several days,Several days,Not at all,Mostly reliable — occasional difficulties,No — these do not significantly affect my study time,College of Health Sciences,,Year 1,Male,Neutral
2026/06/01 12:27:35 AM GMT,Average,More than 80%,All 5,No,No,Several days,Not at all,Not at all,Several days,Severely — it has significantly limited my participation,Mostly reliable — occasional difficulties,Sometimes — these occasionally affect my study time,School of Business,,Year 2,Female,Agree — I mostly feel I belong here
2026/06/01 3:18:35 PM GMT,Good,60–80%,All 5,No,No,Nearly every day,Not at all,Not at all,Several days,Not at all,Reliable access — rarely a problem,No — these do not significantly affect my study time,College of Arts and Social Sciences,,Year 1,Female,Agree — I mostly feel I belong here
2026/06/01 1:00:29 PM GMT,Good,60–80%,All 5,No,No,Several days,Several days,More than half the days,Not at all,Not at all,Very limited — a serious barrier to my studies,No — these do not significantly affect my study time,College of Science,,Year 3,Male,Neutral
2026/06/10 1:57:00 PM GMT,Excellent,More than 80%,All 5,No,No,Several days,Not at all,Several days,Not at all,Severely — it has significantly limited my participation,Frequently unreliable — regular difficulties,Sometimes — these occasionally affect my study time,College of Science,,Year 1,Female,Agree — I mostly feel I belong here
2026/06/10 1:11:38 PM GMT,Excellent,More than 80%,All 5,No,No,Not at all,More than half the days,Not at all,Not at all,Moderately — it has sometimes limited my participation,Mostly reliable — occasional difficulties,No — these do not significantly affect my study time,College of Health Sciences,,Year 2,Female,Strongly agree — I feel I belong here
2026/06/15 8:34:28 PM GMT,Good,More than 80%,All 5,No,No,Several days,Not at all,Several days,Several days,Moderately — it has sometimes limited my participation,Reliable access — rarely a problem,No — these do not significantly affect my study time,School of Business,,Year 4,Female,Agree — I mostly feel I belong here
2026/06/01 3:32:35 PM GMT,Excellent,More than 80%,3 or 4,No,I have thought about it briefly but not seriously,Several days,Several days,Several days,Not at all,Moderately — it has sometimes limited my participation,Mostly reliable — occasional difficulties,No — these do not significantly affect my study time,College of Science,,Year 2,Female,Agree — I mostly feel I belong here
2026/05/27 10:46:13 PM GMT,Good,60–80%,All 5,No,I have thought about it briefly but not seriously,More than half the days,Nearly every day,Several days,Not at all,Not at all,Reliable access — rarely a problem,No — these do not significantly affect my study time,College of Science,knust,Year 3,Female,Strongly agree — I feel I belong here
2026/06/10 1:55:39 PM GMT,Below Average,60–80%,All 5,No,No,Several days,Not at all,Not at all,Not at all,Slightly — it has rarely affected my participation,Frequently unreliable — regular difficulties,No — these do not significantly affect my study time,College of Health Sciences,,Year 1,Male,Strongly agree — I feel I belong here
2026/06/01 3:34:04 PM GMT,Average,60–80%,All 5,No,I have thought about it briefly but not seriously,Several days,Nearly every day,Several days,Several days,Severely — it has significantly limited my participation,Frequently unreliable — regular difficulties,No — these do not significantly affect my study time,College of Arts and Social Sciences,,Year 1,Female,Agree — I mostly feel I belong here
2026/06/01 1:15:58 PM GMT,Good,More than 80%,All 5,No,No,Not at all,Several days,Not at all,Several days,Slightly — it has rarely affected my participation,Mostly reliable — occasional difficulties,Sometimes — these occasionally affect my study time,College of Science,faculty of built environment ,Year 5 or above (undergraduate),Male,Strongly agree — I feel I belong here
2026/06/01 1:09:07 PM GMT,Average,60–80%,3 or 4,No,I have thought about it briefly but not seriously,Nearly every day,More than half the days,More than half the days,Several days,Slightly — it has rarely affected my participation,Frequently unreliable — regular difficulties,No — these do not significantly affect my study time,College of Arts and Social Sciences,,Year 2,Male,Agree — I mostly feel I belong here
2026/06/16 10:07:25 PM GMT,Excellent,More than 80%,3 or 4,No,No,Nearly every day,Not at all,Not at all,Not at all,Moderately — it has sometimes limited my participation,Mostly reliable — occasional difficulties,Yes — these regularly take significant time from my studies,College of Science,,Year 4,Male,Strongly agree — I feel I belong here
2026/06/15 9:28:31 PM GMT,Below Average,More than 80%,3 or 4,No,"Yes, I have seriously considered this",Nearly every day,Several days,Nearly every day,Not at all,Not at all,Frequently unreliable — regular difficulties,Yes — these regularly take significant time from my studies,College of Science,,Year 4,Female,Agree — I mostly feel I belong here
2026/05/11 5:41:28 PM GMT,Good,More than 80%,All 5,No,No,Several days,Several days,Not at all,Not at all,Not at all,Frequently unreliable — regular difficulties,No — these do not significantly affect my study time,College of Arts and Social Sciences,,Year 1,Male,Strongly agree — I feel I belong here
2026/06/01 3:22:38 PM GMT,Excellent,60–80%,1 or 2,Yes,"Yes, I have seriously considered this",Several days,Nearly every day,More than half the days,Nearly every day,Slightly — it has rarely affected my participation,Reliable access — rarely a problem,Sometimes — these occasionally affect my study time,College of Arts and Social Sciences,,Year 2,Male,Disagree — I often feel I do not belong here
2026/06/01 8:27:04 AM GMT,Good,More than 80%,All 5,No,No,Not at all,Several days,Nearly every day,Not at all,Severely — it has significantly limited my participation,Mostly reliable — occasional difficulties,No — these do not significantly affect my study time,College of Science,,Year 4,Female,Agree — I mostly feel I belong here
2026/06/16 10:01:23 PM GMT,Good,60–80%,All 5,No,No,Not at all,Not at all,Several days,Several days,Slightly — it has rarely affected my participation,Reliable access — rarely a problem,Sometimes — these occasionally affect my study time,School of Business,Biochemistry,Year 4,Male,Neutral
2026/06/01 3:33:26 PM GMT,Good,More than 80%,All 5,No,No,Not at all,Not at all,More than half the days,Several days,Not at all,Frequently unreliable — regular difficulties,No — these do not significantly affect my study time,College of Science,,Year 5 or above (undergraduate),Male,Strongly agree — I feel I belong here
2026/06/10 1:14:51 PM GMT,Good,More than 80%,All 5,No,No,Several days,Not at all,Nearly every day,Several days,Severely — it has significantly limited my participation,Mostly reliable — occasional difficulties,Yes — these regularly take significant time from my studies,College of Arts and Social Sciences,,Year 2,Female,Neutral
2026/05/30 11:40:07 AM GMT,Good,More than 80%,3 or 4,No,No,Not at all,Not at all,Not at all,Not at all,Not at all,Very limited — a serious barrier to my studies,No — these do not significantly affect my study time,Other Faculty,,Year 1,Female,Agree — I mostly feel I belong here
2026/06/10 1:51:14 PM GMT,Good,More than 80%,All 5,No,No,Several days,Several days,More than half the days,Not at all,Moderately — it has sometimes limited my participation,Frequently unreliable — regular difficulties,No — these do not significantly affect my study time,Other Faculty,COHSS,Year 4,Female,Strongly agree — I feel I belong here
2026/06/10 1:11:38 PM GMT,Average,More than 80%,All 5,No,No,More than half the days,Not at all,Several days,Several days,Slightly — it has rarely affected my participation,Reliable access — rarely a problem,Sometimes — these occasionally affect my study time,College of Engineering,Faculty of Physical and Computational Sciences ,Year 1,Male,Agree — I mostly feel I belong here
2026/06/01 1:04:38 PM GMT,Good,60–80%,All 5,No,No,Several days,Not at all,Several days,Several days,Not at all,Reliable access — rarely a problem,Sometimes — these occasionally affect my study time,College of Arts and Social Sciences,,Year 1,Male,Strongly agree — I feel I belong here
2026/05/28 7:45:50 PM GMT,Good,More than 80%,All 5,No,No,Not at all,Several days,Not at all,More than half the days,Not at all,Frequently unreliable — regular difficulties,No — these do not significantly affect my study time,College of Health Sciences,,Year 2,Female,Strongly agree — I feel I belong here
2026/06/16 8:23:21 PM GMT,Excellent,More than 80%,3 or 4,No,No,Several days,Not at all,Not at all,Not at all,Moderately — it has sometimes limited my participation,Frequently unreliable — regular difficulties,No — these do not significantly affect my study time,School of Business,,Year 1,Male,Neutral
2026/06/13 9:39:00 PM GMT,Good,60–80%,All 5,No,I have thought about it briefly but not seriously,Nearly every day,Several days,Not at all,Several days,Moderately — it has sometimes limited my participation,Reliable access — rarely a problem,No — these do not significantly affect my study time,College of Arts and Social Sciences,,Year 1,Female,Neutral
2026/06/01 1:06:37 PM GMT,Good,60–80%,All 5,No,I have thought about it briefly but not seriously,Not at all,More than half the days,More than half the days,Nearly every day,Not at all,Mostly reliable — occasional difficulties,Sometimes — these occasionally affect my study time,College of Engineering,,Year 3,Male,Neutral
2026/06/01 12:58:49 PM GMT,Good,More than 80%,All 5,No,No,Not at all,Not at all,Several days,More than half the days,Not at all,Reliable access — rarely a problem,No — these do not significantly affect my study time,College of Science,,Year 1,Female,Neutral
2026/06/16 8:21:48 PM GMT,Excellent,More than 80%,All 5,No,No,Not at all,Several days,Not at all,Not at all,Slightly — it has rarely affected my participation,Reliable access — rarely a problem,Sometimes — these occasionally affect my study time,College of Science,College of arts and built environment ,Year 4,Male,Agree — I mostly feel I belong here
2026/06/10 12:31:40 PM GMT,Excellent,60–80%,All 5,No,No,Several days,Not at all,Several days,Not at all,Not at all,Frequently unreliable — regular difficulties,Sometimes — these occasionally affect my study time,Other Faculty,,Year 4,Female,Strongly agree — I feel I belong here
2026/06/01 9:18:18 PM GMT,Excellent,60–80%,3 or 4,No,No,Not at all,Several days,Not at all,More than half the days,Not at all,Frequently unreliable — regular difficulties,No — these do not significantly affect my study time,College of Health Sciences,College of Agriculture and Natural Resources,Year 2,Male,Strongly agree — I feel I belong here
2026/06/09 3:04:37 PM GMT,Good,More than 80%,All 5,Yes,I have thought about it briefly but not seriously,Nearly every day,More than half the days,Not at all,Not at all,Slightly — it has rarely affected my participation,Frequently unreliable — regular difficulties,Sometimes — these occasionally affect my study time,College of Health Sciences,,Year 3,Male,Agree — I mostly feel I belong here
2026/06/16 8:26:43 PM GMT,Excellent,60–80%,All 5,No,I have thought about it briefly but not seriously,Not at all,Not at all,More than half the days,Not at all,Not at all,Mostly reliable — occasional difficulties,Sometimes — these occasionally affect my study time,College of Science,,Year 3,Male,Agree — I mostly feel I belong here
2026/06/01 6:40:17 PM GMT,Below Average,More than 80%,All 5,No,No,Not at all,More than half the days,Several days,Not at all,Slightly — it has rarely affected my participation,Mostly reliable — occasional difficulties,No — these do not significantly affect my study time,College of Engineering,,Year 2,Male,Neutral
2026/06/16 8:23:21 PM GMT,Average,More than 80%,All 5,No,No,More than half the days,Several days,Several days,Several days,Severely — it has significantly limited my participation,Mostly reliable — occasional difficulties,Sometimes — these occasionally affect my study time,College of Health Sciences,,Year 1,Female,Neutral
2026/05/29 7:47:58 PM GMT,Below Average,Less than 40%,1 or 2,No,I have thought about it briefly but not seriously,Several days,Several days,Not at all,Several days,Slightly — it has rarely affected my participation,Frequently unreliable — regular difficulties,Sometimes — these occasionally affect my study time,College of Health Sciences,College of Arts and Built Environment ,Year 1,Male,Strongly agree — I feel I belong here
